symbol,industry,cap,close_price,1d,2d,3d,4d,5d,6d,7d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,3y,5y
SHREECEM,CEMENT & CEMENT PRODUCTS,LARGE_CAP,27622.650390625,0.4082128465998485,0.32670669577410155,0.5384996963825952,1.0772749467126508,3.402951285273338,2.9418739460370995,0.3981768059774367,-8.273364474009949,-0.0025312598214471947,11.272403206057056,12.905419138745133,30.30474038552256,28.310341836793945,27.111148939321644,29.09801247548513,46.706986166005855,17.079109543595187,19.948066143618988,32.15362670806786,85.09504759921681,557.5554051732495
SHREEPUSHK,nan,nan,176.75,0.11328062576331756,1.9907656592549572,3.1815509930817027,1.2893982808022924,3.001161837592071,3.6656891495601176,-1.8873128013748581,20.648464163822524,21.519425031611238,26.61174231535281,79.44162436548223,57.8125,48.342423614330045,90.66883044093952,112.18486617602854,108.30878394642285,67.53554502369668,50.57088241959801,86.29689130662392,5.0400410312660275,nan
SHREYANIND,nan,nan,93.80000305175781,0.4282671513319787,0.48206168719056924,3.076926430503091,1.8458247619997499,-0.21276271089594412,-0.15965290192293233,-4.674795124785956,-7.082708382993047,20.10243903249116,6.108598905734258,26.842470483681968,19.79565695515261,6.1686527128046285,28.317380314262174,18.136021724364202,21.976594526063312,1.9011406213816324,-21.560664452166378,-14.309381745026768,-7.582862542580513,404.1458840756599
SHREYAS,nan,nan,112.6500015258789,2.689156481042171,1.532225889496658,0.9861034908360408,8.317309159498947,15.242968312919597,8.788023376081028,8.473763294229348,48.81110444812868,56.67593760110407,48.5168144918466,82.28155811743824,94.22414056186018,44.88746176961917,69.90949674306572,132.26804438325547,151.17058050933738,78.80952623155382,11.645193084547527,43.686223639542256,-49.05701773150166,518.6120376045789
SHRIPISTON,nan,nan,790.4500122070312,2.476182955290154,1.4763463405586934,2.6558457411728895,-0.566073329253318,1.3657379559859657,0.349117678987317,-4.6674318359188955,2.2574401302757114,-0.9957429814541504,33.65245393688948,42.799712740729326,41.24098099233023,34.70721717298112,36.0897031531408,39.448772435714524,54.53121016683832,29.19309363834346,11.840974417414909,12.453713154716002,-40.0146596800438,nan
SHRIRAMCIT,FINANCIAL SERVICES,MID_CAP,1868.9000244140625,7.891702868927262,8.263578532313542,13.34222795455274,15.417633127315886,18.079293913382564,15.239711695024665,15.94751699733609,28.885208198464323,25.193178186761372,74.8714537341381,76.83499455115933,107.01393244395034,101.44711385121943,186.36745719646976,200.95194793285617,161.29753865353,33.3358038004377,38.237392611148614,40.40500945049563,6.499289426400505,94.55962256267198
SIEMENS,INDUSTRIAL MANUFACTURING,LARGE_CAP,1986.3499755859375,-0.7023619604404076,-2.2152755822895496,-2.311456491224847,-3.6687693702261153,-0.3336690624216006,-0.8708490276957904,1.9346701921609015,11.220920512501895,6.6496631187080535,23.240164279028356,42.59088075101244,55.34470306833917,64.17314628239488,71.91276199451264,79.15428700526952,72.07590502766593,47.053251362048584,26.518791939211933,36.97884823033474,81.03286613750291,240.56810748288257
SIGIND,nan,nan,37.29999923706055,0.0,-1.322751349449185,-0.26738578807052416,-0.5333353678385416,4.922644268795486,1.0840045925231523,0.8108087488122889,23.714758570464006,12.859304381569462,15.479876526631845,68.7782741774775,94.27082164006147,75.67581625131885,80.64776030199192,115.15353884393247,109.27501125247122,95.39452655903683,75.27380787958306,80.64776030199192,-83.6571455523871,35.2378300805897
SILGO,nan,nan,44.849998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.999996087489983,27.4147656307488,27.4147656307488,43.74999159421697,43.74999159421697,45.42800989693762,45.616881769771865,38.4259146972508,34.281426422602195,14.999996087489983,14.999996087489983,nan,nan
SILINV,nan,nan,234.3000030517578,0.2138579954976783,0.0,-1.6579210695665005,-0.9930238349190481,-1.243412833821786,-7.097539299398924,-7.079116112156066,23.28334611389038,13.215755741400573,8.522468585198537,60.20513029180022,68.5611532746459,50.892812746347985,75.41291205527276,109.81667412282631,130.71715600570485,84.35978522414027,48.729154908281934,68.53517783298877,121.92782160946427,484.58026284456207
SIMPLEXINF,nan,nan,31.25,-0.7936507936507936,0.3210285158727228,2.6272552282961583,2.6272552282961583,0.969302842214388,-1.574803149606299,-2.0376163833954957,1.2965951817962895,-13.674034968549298,-22.16687717967423,-4.28790646386109,-3.4003045626139836,-6.855437524182964,-16.777628135988525,9.457095744628258,11.209962903087753,-34.34873739126309,-46.25967466898072,-27.071175932775866,-89.17425121023203,-61.607332999397116
SINTERCOM,nan,nan,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.583333333333334,39.005900793701294,97.36842465502771,14.583333333333334,5.095541401273886,19.565217391304348,nan,nan
SIRCA,nan,nan,339.95001220703125,0.711013035359527,0.502590452928677,-1.076671542315711,-1.1485844023137988,1.1906533277739475,3.801530444895038,4.023875430005579,-3.2446260704278114,3.7381750209581344,2.209863490269471,38.50071967151672,28.842146804294366,24.341631234909343,65.46605853329503,59.82605410650462,85.15795256311911,7.964245308885628,49.951657187571655,40.54885492147635,nan,nan
SIS,SERVICES,SMALL_CAP,415.0,2.4691358024691357,4.613054507146898,4.2582622099833305,2.2167487684729066,4.023057351014634,7.318331238587477,10.637161622832192,3.220995547871952,-3.5108128084707313,-2.3529411764705883,7.512953367875648,15.341860500227058,3.99699603932986,14.29358111376299,4.428788720137755,4.363135010642588,-23.35395869539315,-17.52098606149353,-7.4607787309609845,nan,nan
SIYSIL,nan,nan,240.14999389648438,7.090298281598384,6.971044051886135,9.183904172999636,12.429769210822023,17.14633848608994,16.014489805064915,12.932048337319346,29.49581981579033,21.28787570529514,18.475578447001528,50.84798900753748,54.985478300268355,48.3323057133847,88.8714046516205,91.20222676273791,83.81171459277543,7.421976181809507,-9.226223090802673,5.17048028022171,0.8283333890697868,403.5161980255543
SJVN,POWER,MID_CAP,26.649999618530273,0.5660362963406546,-0.5597000850762918,-0.5597000850762918,-0.37383320175598717,-0.5597000850762918,-2.201836262274226,-1.660519397066695,3.8986355355637983,2.094682697622794,11.05035818440212,26.597409135166078,31.264585188776028,12.810050974251281,29.933000082020218,38.595194932110324,38.2659933209696,24.64665038346468,15.202630446766662,26.16319644944095,31.968604708821424,126.1689407620458
SKFINDIA,INDUSTRIAL MANUFACTURING,MID_CAP,2443.35009765625,2.694130404801933,3.2997948343506978,4.278519731200464,4.025461804434923,5.446354384964523,5.576202139107724,7.717235156722822,12.37409937847051,3.5405562801651733,38.822762414232436,56.46453226534316,64.63514169195986,47.17646367644467,54.7060585320723,80.16100781096704,82.11305628011743,40.64321044361311,21.04392557778042,23.815511712722177,113.39720774407931,328.10630363045834
SKIPPER,nan,nan,59.54999923706055,-4.643717358607133,1.2755102206315827,3.565216064453125,4.1083888859730315,3.745640512243383,2.1440823608199833,4.473682872036047,-1.4072885220941072,-7.315176284730667,-8.595552045526698,9.16590296962473,15.631066479729217,21.378805160141173,73.42350298995409,60.802388795947095,129.45264021544392,76.2413157488007,17.784173343643968,12.243996248437208,-54.76312667457578,nan
SKMEGGPROD,nan,nan,65.0,2.8481000242583354,1.0886421695481572,-1.6641429644688355,-8.32158166276678,1.8808789612686845,6.6447894772187475,18.505016970361087,36.554626226172765,28.078817733990146,8.968982962724684,40.69263836926484,50.987226833777285,30.647826706016858,101.5823865269765,75.00895362591807,85.63800754128258,170.43563993125852,79.30657103290358,61.2659015902229,25.07482566857905,894.5788600714632
SMARTLINK,nan,nan,95.0999984741211,4.4481002598770285,3.0894292402396677,3.0894292402396677,1.38592258003015,2.58899849502575,5.1409637178205285,2.922074571055052,11.94820705180606,2.922074571055052,7.4576253944871125,30.273970512494646,28.949150473384535,16.544117956425495,39.44281925158097,45.858900192302876,39.95585392970537,29.124231505555574,12.677721273454399,26.378735513782186,-9.563748614157408,156.46492917196554
SMCGLOBAL,nan,nan,71.0,-0.7686974539469293,-1.7301038062283738,-3.3355984343588476,-3.005460437105958,-1.593903675062878,-4.441457491541436,-4.505714247307111,-1.593903675062878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SMLISUZU,nan,nan,445.25,1.1242362807783612,-0.4583026713422536,-1.198267828607753,0.01122816522868921,0.3945885005636978,-0.8572714431511754,-3.9685094659124274,-3.7921322938365436,-10.394444461845627,-5.356575949229961,2.9360796591005456,13.932961593611113,0.9866196787784329,12.266765796212912,15.604311841081978,21.40422631220177,-6.29274845429091,-25.618105887129616,-14.752056211709144,-57.87789341426347,63.55267624176012
SMSLIFE,nan,nan,607.7999877929688,0.26393526125352035,-0.6700500829395822,-1.2750810216510473,-2.3300659303281175,-0.7024976253025583,0.04938070666152263,-1.0339552826936842,16.58195382283683,7.966955255956795,-0.09862534467707047,4.955968471245811,2.461223075774651,31.700972436179576,82.46772040108765,122.71894517649483,126.20020847809401,157.8154773246951,118.515190052158,117.26541118604781,nan,nan
SMSPHARMA,nan,nan,153.1999969482422,1.3562706811366227,1.557832780672188,0.6570302365643703,2.1673891738202524,1.6589250501833939,-0.5840422580313609,-0.648508443444168,13.692019998695502,18.529978296512333,24.60349796733564,82.59832438857315,67.24890775137335,67.34024231722913,127.4684490261845,250.57206927594865,347.2992611627509,320.78869315174245,229.3713270617355,289.5209965027894,77.11468141288267,878.7476377717443
SNOWMAN,nan,nan,52.70000076293945,1.4436958402030315,-1.403180522534298,-2.497684538717696,5.717156220772799,5.717156220772799,4.459861181316074,6.036217211161604,14.31670825872883,8.10256566756811,-11.872907298836434,-10.297871041805186,35.64994294155294,56.1481504087095,76.84564467169345,85.23725606218399,82.66897769883052,21.709010834885714,23.854293085482304,38.13892176961149,-0.09478528352710308,nan
SOBHA,CONSTRUCTION,SMALL_CAP,452.3999938964844,0.06635429969449347,-0.5605051636720154,0.4663571309002855,0.49983339564754176,1.5488201787843716,-1.2442724582158669,-2.3421491858641392,-8.891349306586278,-1.9718323084540899,10.166808868996169,47.24165789958808,73.30013983960414,65.77501063194872,106.07900867946239,122.07465924592329,98.57644562160112,46.056000878055684,3.3477672047438802,12.429318543427122,81.01400124744248,67.31607807338649
SOLARA,PHARMA,SMALL_CAP,1742.6500244140625,-0.4256871764929166,-3.7714972030903042,-0.8139063237558096,2.133334764194139,1.3463230249527478,-0.12322468786647155,2.77179838547409,32.62681907022729,19.96764792117851,41.86339871210059,61.39384342802153,51.63924918554839,82.8961513473929,174.92458527679668,219.8516284141154,224.31497501549643,176.81114892964354,307.54989052073506,293.6966242207944,nan,nan
