symbol,1d,2d,3d,4d,5d,6d,7d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,3y,5y
KOPRAN,0.02597561130275974,3.9686858664310507,-1.028013348048071,-5.958484468005952,-10.649650556028858,-15.10141073154388,-7.980882651489695,72.22718944168255,61.60302189332051,38.127698337448685,62.35244985586813,120.01584349617683,156.49214544753855,446.79950688647335,593.7153921066586,614.0441083167692,649.7462713081896,437.74907841067954,469.98251969357517,274.8731356540948,887.0077495702749
KOTAKBANK,-1.2915025295792395,-2.672213837756165,-2.0611801014230253,0.09081690655028293,-0.6196017433360943,-2.691617608833428,-5.590406818963048,-2.8990451009293636,-14.137073407367257,-12.835823387071056,-9.590349894188286,29.399286627035657,18.897474018743107,32.418600866036826,23.197857344969254,45.03926564821694,6.829265239016573,0.5947809746862787,5.770894809404025,128.5532525772434,356.81902891662054
KOTARISUG,-4.220405597560454,-5.110338680437266,-7.995502094045344,-6.199772239356973,-8.612980364891575,-10.807862107853488,5.966275700595637,64.38630924361001,73.82978074094082,117.28723474410178,187.67604945647616,175.08415774248022,159.3650696769593,219.1406083235054,185.66432118363386,306.4676387944836,263.11109754774304,217.89881137302228,308.49998474121094,221.44708163345558,595.0220646803343
KOTHARIPET,-2.309468862863393,-7.236840674311343,-9.032259705246135,9.161288353704638,30.95975305326369,30.15384380634014,39.37396608036593,64.91228017992582,78.481003693496,73.00612645042352,181.99999491373697,165.20376014355222,161.11109410457402,167.72151092672334,155.58913103958227,205.41514853425426,189.72601460166788,134.99999576144748,156.36363173976088,115.45728045463939,545.432083100023
KOTHARIPRO,-1.6269627846925534,-5.26020932121613,11.308347309687997,13.395847013523907,17.16263186972859,13.54795179164375,14.314649611441805,29.731803104795258,19.14144671354046,11.970903749231889,30.83462985878662,42.50841641645293,27.389022443165313,50.08865112714156,-1.7411491276055402,73.28557660185663,55.60661608733525,10.509142574562144,43.84027820001252,-48.717664879119646,22.710468968153272
KPRMILL,-1.9692522444455458,-3.4473613028271335,-2.8569519629430307,-0.5643533972556413,-1.7572317132340938,-3.4184958355536414,-1.4073998944350723,38.490854553847306,61.17085444479259,66.90700532970567,80.67904565146408,126.12874321458017,159.68407141595412,221.8595097949384,218.66586749702165,223.1764234290396,156.17849100710177,118.70804770516534,122.5499887023262,142.14352666322944,1845.8896218814907
KRBL,4.812261243906774,7.550931276050345,7.384484924936742,10.562263988937257,4.541542364684003,11.067922653813692,16.64265593812055,31.41233879498339,23.368046011545673,-1.4007295596814102,-3.0538897790356785,-11.723009554519912,-15.559804954904338,-2.85999755859375,14.014087372542546,6.001745802567659,-6.184603573603688,-9.885578356890619,20.079115082038705,-9.219839304797949,714.7389912181096
KSB,3.1412182463807703,3.1863174500707254,1.9658687024201185,3.7875886613581864,1.1085498115241745,1.8503560301893054,-0.7204055068431141,8.085879744792447,41.29685081473303,46.92781473971403,81.53281505925214,97.56369343865212,71.28814945735205,77.54233771427712,96.68708737778269,90.90455257455218,47.64603013787841,35.79033436660968,45.58218912784607,70.27648729528889,298.1872326205446
KSCL,1.0377018968521077,0.7201780688866882,-0.22052304490759062,4.967252322655096,2.3552910455131406,3.4914244476328626,17.6326630200519,45.750831304032445,50.675810422533054,45.65424119809671,50.92711104069284,47.061168339807175,22.15125111137367,36.232839247802346,55.43517681489174,106.78393406842592,83.4436730385287,56.99331239146238,59.67722644069773,86.54125068874805,136.84574970759752
KSL,-3.571425678318358,1.7052716495578446,7.246376692892182,14.31841512184245,10.234484442349139,6.191873257079665,3.52331764339783,17.59859342519502,33.824513709147865,39.96497586813157,69.2861685817885,79.27322433624265,72.98701562922754,82.17460450625036,159.8179441966848,167.11229264724273,100.12006507294649,59.62974792722964,81.91927781866248,44.621166804210795,750.9590483740691
KTKBANK,0.22354922397913068,0.22354922397913068,0.22354922397913068,1.586107402057355,0.5983568212552084,3.2233283575395335,6.324110671936759,7.513990120330373,0.6736480953354478,11.341056789851491,51.9774011299435,64.62668913587251,36.409738419317875,49.944263741288495,67.70574204236046,51.9774011299435,6.746031746031746,-1.1029411764705883,-3.615593980129787,-20.529429228834715,3.569220458376406
L&TFH,-0.11074872661776532,0.8384572672864004,1.9209005064883475,6.055254217157768,3.678157411772629,1.2345662098306165,3.085710797991071,-5.351527744176242,-7.818090592921309,-5.017240825245838,35.917874646056006,56.28897989421039,35.254276727825726,59.37127127389578,61.091844825964046,52.12126062547478,-4.007083345004939,-27.94104067825308,-19.917006320915213,5.961513366392007,38.918618114667055
LAKPRE,-4.950494862528325,-3.0302954406081475,-4.950494862528325,-1.0309219563065746,-1.0309219563065746,3.2258084363669033,3.2258084363669033,26.315796078077064,-14.285709420028917,-16.521735813306726,45.454553336151484,9.090911061310528,-5.882347441324486,108.69566479342221,200.0000074505805,336.3636442452421,190.90910667230298,100.0,68.4210649597792,-87.7237841993477,-89.67741894465621
LAOPALA,18.507337614527312,22.935786958484552,26.560704144070524,28.514625593932745,26.269826869033302,22.880791078956435,23.377507180506033,22.116032866733416,27.85664621981888,17.619357147323196,28.846161416090077,22.71610664151642,12.420710188424652,42.14748367763583,68.3210890586907,61.20893312584722,30.840684067621837,56.034964540384024,93.44210718371173,9.043708060525796,423.14616680490394
LAXMIMACH,4.37609365065624,2.8633883472639137,3.357800283924755,13.465621653930063,12.950770020422617,13.04275764774691,13.6993974664744,2.9743883155883633,12.850586357783717,43.472587106046554,58.271327533589655,83.00813982026921,106.07078291372976,149.628482236125,155.21838911584615,169.08207774832508,115.4666368159905,82.97853387297859,100.95775926036876,80.78365526039838,173.12923634985077
LFIC,1.3307926515297805,0.5660338971599843,0.0625724923760961,-0.6215040633521427,-2.0820631302718393,-2.5594223344402853,1.2025277825850473,-99.03500305433624,-2.022060731290569,9.520543764715326,40.01751153194372,29.683690136944225,41.12973485396881,10.436991607522721,94.62256843809219,73.13300811159863,71.34812794526908,55.33427637869986,54.18151953280636,66.08189154981677,544.5687889430855
LGBBROSLTD,-1.4662756889848048,-0.591721971832738,-2.1517534894514143,4.709143586690531,3.5616417453713614,4.419885194475265,3.2963258399605038,-4.590635037124664,-5.500001907348633,-0.18155414701584535,16.982589515080996,25.633567814921726,8.972970773507882,31.47825821586277,33.040030724340006,46.36978943019429,26.63506320415608,-5.589813386103975,16.310652443704495,6.232117831909336,490.2198394071738
LGBFORGE,-3.1914813748412993,-7.142855057563488,-3.1914813748412993,1.1111153496636283,5.81395323048289,10.975616989498999,15.189876855899994,21.333338419596355,-10.78430831730241,19.736848627101104,82.00000762939453,82.00000762939453,75.00001375491853,89.58333374725446,97.82609935068254,127.50000953674316,93.61703725031741,28.169021178890567,93.61703725031741,-22.156882803958414,363.16705339594375
LIBERTSHOE,-0.5784548330475574,1.9273582069327162,3.812761923830934,4.245645460689355,3.5781544256120528,3.189493433395872,2.0408163265306123,7.505862673644033,-2.239597606241426,-7.810924822812868,-5.563190771954263,-7.872696817420436,-12.503973693710698,-1.8908269795870818,19.66927604350893,31.641937785919694,34.474327628361856,-12.112494290754988,3.4223415992473782,-12.168637930629481,46.256866543368474
LICHSGFIN,0.6023451660973229,0.2445273065668251,3.381476292348036,4.847711185220836,5.128802744824676,5.079813263566136,5.374459479831301,7.766758048012766,-4.14496747667606,14.294772819422096,36.83812135060036,57.26242797106582,55.31340362241999,78.07714266346306,81.28511374447092,65.97761726728928,43.56071270836212,-0.8011242699918221,-1.0238329480580302,-14.11752972464218,162.5393385351789
LINDEINDIA,-0.9866131281642182,-0.7388683563833526,0.18718391180210342,-1.8426352262801142,-3.397699373694614,-5.975519223444525,-5.453525865694658,-6.894551026820415,21.900081683230578,71.88296034625208,89.28932041017104,114.65401665250712,124.2563681076505,152.52721255941356,226.8497705649931,217.44596387954087,175.46011444038817,133.5184793186772,162.0979105643392,364.18866241257945,430.0583548390996
